Idioms,Meanings
avoir le bras long,to have influence (to have a long arm)
être un bourreau des coeurs,to be a casanova (to be an executioner of hearts)
avoir le coeur sur la main,to be kindhearted (to have one's heart on one's hand)
se croire sorti de la cuisse de Jupiter,to think a lot of yourself (to think yourself sprung from Jupiter's thigh)
se mettre le doigt dans l'oeil,to be entirely mistaken (to put your finger in your eye)
tenir la jambe à quelqu'un,to bore someone with endless conversation (to hold someone's leg)
avoir un poil dans la main,to shy away from work (to have a hair on your hand)
tomber sur un os,to hit a snag (to fall on a bone)
casser les pieds à quelqu'un,to annoy someone (to break someone's feet)
manger sur le pouce,to have a quick snack (to eat on the thumb)
tirer le diable par la queue,to be short of money (to pull the devil by the tail)
partir ventre à terre,to race off (leave with your belly to the ground)
faire l'âne pour avoir du son,to play dumb (to play the donkey to get the bran)
chercher la petite bête,to nitpick (to lok for the little beast)
avoir le cafard,to be glum (to have the cockroach
appeler un chat un chat,to call a spade a spade (to call a cat a cat)
entre chien et loup,at dusk (between dog and wolf)
sauter du coq à l'âne,to jump from one thing to another (jump from the rooster to the donkey)
avaler des couleuvres,to swallow one's pride (to swallow grass snakes)
poser un lapin à quelqu'un,to stand someone up (to lay the rabbit on someone)
courir deux lièvres à la fois,to have your finger in many pies (to run after two hares at the same time)
avoir mangé du lion,to have abundant energy (to have eaten lion meat)
une truie n'y retrouverait pas ses petits,this place is a mess (a sow wouldn't find her young in this place)
manger de la vache enragée,to go through lean times (to eat meat from the rabid cow)
faire un chèque en bois,to bounce a cheque (to make a wooden cheque)
casser du bois,smash up your car (to break wood)
montrer de quel bois on se chauffe,to show what you're made of (to show what sort of wood you use to warm yourself)
ramasser une bûche,to take a bad fall (to pick up a log)
enlever une épine du pied à quelqu'un,to get someone out of a jam (to remove a thorn from someone's foot)
jeter des fleurs à quelqu'un,to speak highly of someone (to throw flowers at someone)
couper l'herbe sous le pied de quelqu'un,to pull the rug from under someone (to cut the grass beneath someone's feet)
manger les pissenlits par la racine,to push up daisies (to eat dandelions by the root)
couper la poire en deux,to meet halfway (to cut the pear in two)
faire le poireau,to be kept waiting (to act like a leek)
tomber dans les pommes,to faint/pass out (to fall into the apples)
tirer les marrons du feu,to be played for a fool (to pull the chestnuts from the fire)
se fendre la pêche,to laugh your head off (to split the peach)
jeter de l'huile sur le feu,to add fuel to the fire (to throw oil on the fire)
tondre des oeufs,to be a cheapskate (to shave the eggs)
pédaler dans la semoule,to take leave of your senses (to pedal in the semolina)
cracher dans la soupe,to spoil everything (to spit in the soup)
casser du sucre sur le dos de quelqu'un,to talk behind someone's back (to break sugar on someone's back)
rôtir le balai,to live the high life (to roast the broom)
mettre quelqu'un en boîte,to make fun of someone (to put someone in a box)
tirer la couverture à soi,to take the lion's share (to pull the blanket to yourself)
tomber les quatre fers en l'air,to fall flat on your back (to fall down with all four horseshoes in the air)
être une vraie girouette,to change with the weather (to be a real weathervane)
passer au peigne fin,to search thoroughly (to go over with a fine tooth comb)
envoyer quelqu'un aux pelotes,to send someone about their business (to send someone to the balls of yarn)
tourner autour du pot,to beat around the bush (to circle around the pot)
payer les pots cassés,to pay the piper / face the consequences (to pay for the broken pots)
passer un savon à quelqu'un,to reprimand someone (to pass the bar of soap to someone)
tirer les sonnettes,to network (to ring the doorbells)
se mettre à table,to confess to the police / to own up (to sit down at a table)
saisir la balle au bond,to seize the opportunity (to seize the ball on the rebound)
mettre des bâtons dans les roues de quelqu'un,to put a spanner in the works (to put a stick in someone' wheels)
reprendre ses billes,to renege on a deal (to take back your marbles)
un coup d'épée dans l'eau,a wasted effort (a sword blow into the water)
ronger son frein,to champ at the bit (to gnaw one's bit)
il tombe des hallebardes,its raining cats and dogs (halberds are are falling)
avoir les jetons,to be scared / have the jitters (to have tokens)
voir le monde par le petit bout de la lorgnette,to exaggerate about yourself (to view the world from the small end of the spyglass)
être dans les petits papiers de quelqu'un,to be in someone's good books (to be in someone's little papers)
être au bout du rouleau,to be at the end of your rope (to be at the end of your roll)
couper le sifflet à quelqu'un,to cut someone short (to cut someone's whistle)
être sous les verrous,to be under lock and key (to be under the bolts)
ramasser une veste,to lose badly in an election (to pick up a jacket)
avoir l'air d'une poule qui a trouvé un couteau,to be confused (to look like a chicken that has found a knife)
jeter l'argent par les fenêtres,to squander money (to throw money out the window)
brûler les étapes,to go faster than expected (to burn the stops in between)
être au four et au moulin,to be in two places at the one time (to be at the oven and the windmill)
faire le mur,to escape (to do the wall)
raser les murs,to keep a low profile (to shave the walls)
tenir le haut du pavé,to be of the upper crust (to hold the top of the cobblestone)
sauter au plafond,to be very angry (to jump to the ceiling)
faire le pont,to have a long weekend (to make the bridge)
mettre la clef sous la porte,to close down a business (to put the key under the door)
casser la baraque,to spoil something someone else has done (to destroy the shack)
tirer des plans sur la comète,to count your chickens before they're hatched (to draw up plans on a comet)
bâtir des châteaux en Espagne,to build castles in the air / have mad dreams (to build castles in Spain)
il n'y a pas le feu,calm down / we're in no hurry (there's no fire)
Ce n'est pas la mer à boire,its' not all as bad as that (its not the sea to drink)
c'est au bout du monde,it's at the end of the earth
tomber des nues,to be take aback / fall from one's chair (to fall from the clouds)
ce n'est pas le Pérou,its nothing to write home about (it's not Peru)
c'est un travail de Romain,it's a Herculean task (it's a job for a Roman)
n'être jamais sorti de son trou,to live in a cave / under a rock (to never leave your hole)
c'est la goutte d'eau qui a fait déborder le vase,it's the last straw (its the drop that made the vase overflow)
être complètement allumé,to be crazy (to be completely lit up)
être habillé comme l'as de pique,to be dressed in any which way (to be dressed like the ace of spades)
prendre un bain de foule,to mingle with the crowd (to take a crowd bath)
un vrai tas de boue,an old banger (a real heap of mud)
être branché,to be in the know (to be plugged in)
coincer la bulle,to hit the hay (to get the bubble stuck)
coller un élève,to give a pupil detention (to glue a pupil)
faire cavalier seul,to go it alone (to act like a lone rider)
faire sauter une contravention,to have a traffic ticket cancelled (to have a ticket jump)
une histoire à dormir debout,a tall tale (a story to make you fall asleep standing up)
avoir des lettres,to be well read (to have letters)
connaître la musique,to know the score (to know the music)
être timbré,to be nuts (to be stamped)
évolutif,progressive
procéder à,to undertake (to proceed)
pallier,"to compensate, to make up for, or resolve in a temporary manner"
confier,to entrust
en complément,as a supplement (in addition)
apposer,to stamp or affix a signature
faire ressortir,to highlight
traiter qqn par-dessous la jambe,to treat someone in an offhand way
être en délicatesse avec qqn,to be at odds with someone (it's delicate)
avoir les délicatesses pour qqn,to be very attentive with someone
une oeuvre sans délicatesse,a crude piece of work (without refinement)
il y a anguille sous roche,there's something fishy going on
recourir à,to resort to
de premier ordre,"first rate, high class, top-notch, of the first order"
dès lors,"therefore, since then"
manier la carotte et le bâton,to use stick and carrot tactics
les carottes sont cuites,the game is up (we're in for it now)
"il ne marche pas, il court",he's as gullible as they come
marcher sur la tête de qqn,to walk all over someone
damer le pion à qqn,to trump someone
annoncer la couleur,"to lay one's cards on the table, set the tone, declare trumps"
chacun voit midi à sa porte,everyone has their own way of seeing things
être en porte-à-faux,to be in an awkward position
être d'une bêtise achevée,to be utterly stupid
se fourrer une idée dans la tête,to get an idea in one's head
se fourrer dans une histoire,to get mixed up in bad business (not pétrin)
être dans les vapes,"to be out of sorts, unconscious, out of it (not cirage)"
être fauché,to be broke
une tournure d'esprit,a turn of mind (a frame of mind)
faire faillite,to go bust (bankrupt)
votre honnêteté vous fait honneur,your honesty does you credit (formal)
j'en fais mon affaire,i'll deal with it
magouiller,to wheel and deal
mettre qqch sur le tapis,to wheel out something
se repérer,to find one's bearings
être désorienté,to lose one's bearings (to be disoriented)
repérer les rouages,to locate the parts
appréhender de faire,to dread doing
englober qqch,to comprehend something
une étude faite avec rigueur,a meticulous study (rigorous)
les précautions de rigueur,necessary precautions
de rigueur,"obligatory, required, a must"
tenir rigueur à qqn,"to hold something against somebody (bear a grudge, not dent)"
porter le chapeau,to take the blame or the rap
faire porter les cornes à,to cheat on or be unfaithful
à quel moment ?,at what point?
il arrive un moment où,there comes a point when
en fait,"in point of fact, in fact, actually"
pour information,"as a point of information, for info"
trouver à comprendre,to figure something out
avoir tout tracé,to have everything mapped out
en bref,in a nutshell
à la rigueur,in a pinch
rogner sur tout,to pinch and scrape
garder son sang-froid,to keep a stiff upper lip
être sur le point de,to be on the brink of
mettre l'emphase sur,to put emphasis on
il ne faut jurer de rien,never say never
être réglé comme une horloge,to be as regular as clockwork
sortir de justesse,"to have a narrow escape (not l'échapper belle, une chaude alerte)"
ce n'est pas mon truc,it's not my thing
ça m'est égal,I don't mind (ça... )
"déraper, devenir incontrôlable",to get out of hand
être dans les mains de qqn,to be in somebody's hands
sans arrière-pensée,with no ulterieur motive
débarrasser qqn de qqch,to take something off someone's hands
la nuit porte conseil,let's sleep on it
il fait mauvaise figure,he gives a bad impression (sloppy appearance)
payer le prix fort pour qqch,"to pay through the nose for something, to pay high price for smth"
être à découvert,to be in the red
mener qqn en bateau,to lead someone up the garden path
barrer le chemin à qqn,to stand in someone's path
il ne se possédait plus,he was beside himself
elle possède parfaitement son métier,she is extremely skilled at her job
il se laisse dominer par ses passions,"his heart rules his head, he lets his passions dominate"
dominer la situation,to be in control of the situation
s'appuyer qqch,to be stuck with something
tirer sur la corde,to push one's luck
ce n'est pas dans mes cordes,"it's not my line, it isn't in my habits"
faire jouer la corde sensible,to tug at the heartstrings
avoir l'oreille fine,to have a keen sense of hearing
au fin fond de,at the very bottom of
le fin mot de l'histoire,the truth of the matter
être fin prêt,to be all set
grandir dans l'estime de qqn,to rise in someone's esteem
donner suite à qqch,to follow up on something
prendre la suite de qqn,to take over from someone
prendre le relais,to pick up the baton
une filiale,a branch company
le siège social,"headquarters, the main branch company"
facile à déceler,easy to détect
façon de parler,so to speak
il a une façon bien à lui,he has his own way of doing things
faillir à ses obligations,to fail in one's obligations
une vieille recette qui n'a jamais failli,an old reliable recipe
sans faillir,unfailingly
faire acte d'autorité,to impose one's authority
faire appel d'un jugement,to appeal against a decision
attendre le bon moment pour agir,to wait until the time is right to act
laisser qqn loin derrière,"to stand head and shoulders above someone, to outdo.. to leave someone far behind"
courir après rien,to chase a red herring
lâcher la proie pour l'ombre,"pass up a sure thing, chase after rainbows, to chase shadows"
être l'ombre de soi-même,to be the shadow of one's former self
flairer qqch de louche,to smell a rat
retomber sur ses pieds,to land on one's feet
être très vulnérable,to be a sitting duck
c'est la victoire de l'esprit sur la matière,it's a case of mind over matter
lire dans les pensées de qqn,to read someone's mind
je suis décidé,my mind is made up
laisser son esprit s'égarer,to let one's mind wander
avoir bien envie de faire qqch,to have a good mind to do something
marcher droit,to toe the line
ne pas avoir le coeur de faire qqch,to have no mind to do something
improviser,to wing it
s'entendre à merveille,to get on like a house on fire
se fourrer dans le pétrin,"to dig yourself into a hole, to get yourself into a real mess (not histoire)"
faire la paix,to bury the hatchet
quitter le droit chemin,to fall by the wayside
crois-moi,mark my words
bouillir de colère,to be seething with anger
elle fait la pluie et le beau temps,she calls the shots
pour comble d'insulte,to add insult to injury
il n'en manque pas une,you can rely on him to put his foot in it
manquer à sa parole,to break one's word
tu as encore calé ?,you're stuck again?
démarrer sur les chapeaux de roue,to shoot off at top speed
être en charrette,to be battling with a deadline
être sur les dents,"be dog-tired, to be overworked"
avoir les dents longues,to be ambitious
il me désaxe,"he drives me crazy, unbalance"
c'est mon rayon de soleil,it's the light of my life
être à quelques tours de roue de,to be just around the corner from (doing something)
faire le tour d'un problème,to have a look at a problem
tour à tour,"alternatively, in turn (not rôle)"
ma mémoire me joue des tours,my memory is playing tricks on me
le tour est joué,that's done the trick
tourner qqch en dérision,to make a mockery of something
la réunion a mal tourné,the meeting went badly
agacer les nerfs de qqn,to set someone's nerves on edge (not taper)
ne nous énervons pas,let's not get too worked up
il s'énerve pour un rien,he get's worked up over nothing
éprouver des inquiétudes au sujet de,to be worried about (not souci)
ma seule inquiétude,my only worry (not souci)
il a l'air très irrité,he seems very annoyed
ça m'a irrité la peau,it irritated my skin
ne t'agite pas comme ça,"stop fidgeting (tu), don't be so excited"
une voile agitée par le vent,a sail flapping in the wind
nous avons longuement agité la question,we discussed the question for quite some time (not 'on')
la propension à la colère,propensity to become angry
il a une propension à critiquer les autres,he has a tendency to criticize others
pour ménager les susceptibilités,"so as not to upset anybody, to spare someone's feelings"
être d'une grande susceptibilité,to be very touchy
c'est susceptible d'être modifié,this may be changed (c'est ...)
susceptible de plusieurs interprétations,open to several interpretations
être immunisé contre qqch,to be immune to something
immuniser contre l'envie de faire,to cure (someone) of wanting to do (something)
céder à ses impulsions,to give in to one's impulses
l'impulsivité,impulsiveness
avec trop de précipitation,too hastily
impétueux,"hot-headed, impetuous"
il est un peu caractériel,he is a little disturbed
compter pour du beurre,to count for nothing
reprendre du poil de la bête,to perk up
mener la barque,to be in charge
un bienfait n'est jamais perdu,a good turn is never wasted
bien mal acquis ne profite jamais,ill-gotten gains never prosper
qui aime bien châtie bien,spare the rod and spoil the child
le hasard fait bien les choses,fate is a great provider
à tout hasard,on the off chance
bien faire et laisser dire,do right and fear no man
mettre qqch sous le boisseau,to keep something hidden
il ment comme il respire,he's a born liar
tirer le bon numéro,"to be fortunate, to draw the lucky number"
sauter aux yeux,to be obvious
être à pied d'oeuvre,to be ready to get down to work
je n'ai plus pied,i'm out of my depth
arriver à bon port,to arrive safe and sound
clouer le bec à qqn,to shut someone up
être né coiffé,to be born with a silver spoon
être rouge de colère,to be flushed with anger
la colère est mauvaise conseillère,one shouldn't be influenced by anger
être dans une colère noire,to be in a rage
fausser compagnie à qqn,to give someone the slip
par comparaison à,in comparison with
je manque de points de comparaison,I've no way of making comparisons
être accablé de douleur,to be grief stricken
raviver une ancienne douleur,to open an old wound (fig. not blessure)
tenir le bon bout,to be on the right track
ne pas être au bout de ses peines,to not be out of the woods yet
poussé par la pitié,stirred by pity
pousser qqn à faire qqch,"to push, urge or encourage someone to do something"
pousser son effort jusqu'au bout,to push oneself to the limit (not mesure)
pousser un peu loin la plaisanterie,to carry a joke a bit far
en tout bien tout honneur,with no hidden motive
vous me faites trop d'honneur,you flatter me too much (vous)
avoir la poisse,to be dogged by bad luck
avoir de l'allure,to have a lot of class
avoir plus d'un tour dans le sac,to have more than one trick up one's sleeve
vendre la mèche,to let the cat out of the bag
payer les pots cassés,to be left holding the bag
se faire prendre la main dans le sac,to be caught red-handed
les ficelles du métier,the tricks of the trade
être dans la mistoufle,to be hard up
un emploi abusif d'un terme,an improper use of a term
au terme de,at the end of
toucher à son terme,to come to an end
à court terme,short term
trouver un moyen terme,to find a compromise
respecter les termes du contrat,to abide by the contractual terms
la formule idéale,the ideal solution (formula)
trouver la formule qui convient,to find the right expression
partir du principe que,"to work on the principle that, on the assumption that"
il n'y a pas de quoi crier aux miracles,there's nothing miraculous about it
accomplir des démarches,to go through procedures
accoler une étiquette à,to attach a label to
un accès de colère,a fit of anger
une crise de fureur,a fit of rage (of fury)
sans réaction,unresponsive
en réaction à,in reaction to
sous condition que,on condition that
accepter du bout des dents,to accept reluctantly
rire du bout des dents,to laugh half-heartedly
avoir une dent contre qqn,to bear someone a grudge
accabler qqn de,to overburden someone with
accabler qqn de mépris,to pour scourn on someone
accaparer l'attention générale,to monopolize attention
abuser de la situation,to exploit the situation
ses promesses n'abusent plus personne,his promises no longer fool anyone
à plus forte raison,"even more so, all the more reason"
raison de plus pour ne pas faire,all the more reason not to do
avoir de bonnes raisons de penser,to have every reason to think (good reasons)
non sans quelque raison,not without some reason
c'est géant,it's brilliant
raffoler de,to be crazy about
se tenir à l'écart,to keep to oneself
s'étaler sur le divan,to sprawl on the couch
une affiche qui s'étale sur tous les murs de la ville,a poster splashed all over the town walls
étaler au grand jour,"to bring out into the open, to openly show or demonstrate"
être porteur de faux espoirs,"to be a false dawn, to be the bearer of false hopes"
couper l'herbe sous le pied de qqn,to steal somebody's thunder
ne plus être dans son élément,to be a fish out of water
manquer de jugement,"to have clouded judgement, to lack judgement"
avoir le monde à ses pieds,to have the world at one's feet
être mis à la porte,"to be out on one's ear, to be fired, dismissed or thrown out"
frapper un grand coup,"to pull out all the stops, to make a big splash, to strike a blow"
se montrer à la hauteur,to rise to the occasion
ne pas se sentir bien,"to be under the weather, to not feel well"
être aux nues à propos de qqch,to be over the moon about something
ne pas divaguer,to stick to your guns (to not wander off track)
rester gravé dans la mémoire,to stay stuck in memory (in someone's mind)
je n'en peux plus,I can't stick it any longer
à la campagne,in the sticks
se faire mal voir,to get a bad rap or look bad (on account of someone)
être à côté de la plaque,to miss the point
à ce stade-là,at that point (or stage)
se retrancher derrière qqn,to hide behind someone
je ne peux pas le sentir,I can't stand him
emporter le morceau,to get one's own way (after a discussion or a fight) fam.
noyer le poisson,to fudge the issue
essuyer les plâtres,to put up with the initial problems
ne plus être dans la course,to no longer be in touch (out of the running)
être dans le cirage,"to be out of it, be all at sea, be/feel groggy (not vapes)"
hâte-toi lentement,"more haste, less speed"
tu ne m'as pas regardé,what do you take me for! (do you see who you're talking to ?)
il ne s'est pas regardé,he hasn't looked at himself (before blaming others)
faire la sourde oreille,to turn a deaf ear
rester sec,"to be unable to reply, to remain speechless"
je l'ai eu sec,"I was pretty shocked, surprised and upset (by a situation or something)"
je t'ai sauvé la mise,I saved your bacon
ne pas être de mise,to be out of place (to not be appropriate)
une tâche qui demande beaucoup de passion,a labour of love (a task requiring a lot of passion)
insister lourdement,to labour the point
gâcher le plaisir,to spoil the fun
se mettre à la place de qqn,to put yourself in someone else's shoes
enfin et surtout,last but not least
être propre comme un sou neuf,to be clean as a whistle
à la réflexion,on second thought
gagner contre toute attente,to beat the odds (to win contrary to all expectations)
ce n'est pas probable,it's not likely
se sentir mal à l'aise,to feel out of place
ruminer qqch,to chew it over (think about something)
être fait au hasard,to be done at random
décrocher la lune,to do the impossible (aim for the moon)
dorer la pilule à qqn,to gild the pill (for someone)
élever un enfant dans le coton,to give a child a sheltered upbringing
prendre qqn par la douceur,bring someone around gently
on ne m'y reprendra plus,I won't get fooled again
le plus clair de mon temps,most of my time (the clear part of my time)
les trois-quarts du temps,75% of the time (most of the time)
comme on n'en fait plus,like they don't make them anymore
tant et plus,"a great deal, a great many"
tant et si bien que,so much so that
se sentir d'attaque,to feel up to something (ready to attack something)
comme si c'était fait,as good as done (as if it were done)
"séducteur, tombeur",silver tongued
rouvrir de vieilles blessures,to open old wounds (lit. not douleur)
remuer le couteau dans la plaie,to rub salt into the wound
faire exception,to make an exception
faire sa bonne action,to do a good deed
être sur un bon filon,to be onto a good thing
de la plus belle eau,"remarkable, of the highest quality"
il y a une belle part de chance,there's a good chance (that)
faire la part belle à qqn,give someone a good deal
il a ses chances,"he stands a good chance, he has a fighting chance (of winning)"
la chance leur sourit,fortune smiles on them
"avec un peu de chance, il réussira","with a little luck, he will succeed"
mettre toutes les chances de son côté,"to be on the safe side, to better the odds (to take no chances)"
saisir l'opportunité,to seize the opportunity
avoir une chance du tonnerre,to have the devil's luck
il a une chance sur deux,he has a fifty-fifty chance
laisser sa chance à qqn,to give someone a chance
au temps pour moi,it was my mistake
se prendre à faire qqch,to take up doing something
il faut s'y prendre à l'avance,you have to look ahead
il me prend l'envie de faire qqch,I feel like doing something (Il me...)
